Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Internally Displaced Persons,Asylum-seekers,Others of Concern to UNHCR,Stateless Persons,Venezuelans Displaced Abroad
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+idps,#affected+asylum_seekers,#affected+others,#affected+stateless,#affected+vda
2009,NPL,ECU,Nepal,Ecuador,5,0,11,0,0,0
2009,NPL,FIN,Nepal,Finland,8,0,0,0,0,0
2009,NPL,FRA,Nepal,France,50,0,0,0,0,0
2009,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,155,0,0,0,0,0
2009,NPL,DEU,Nepal,Germany,350,0,38,0,0,0
2009,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",7,0,57,0,0,0
2009,NPL,HUN,Nepal,Hungary,15,0,0,0,0,0
2009,NPL,IRL,Nepal,Ireland,5,0,5,0,0,0
2009,NPL,ISR,Nepal,Israel,0,0,9,0,0,0
2009,NPL,ITA,Nepal,Italy,20,0,0,0,0,0
2009,NPL,JPN,Nepal,Japan,0,0,24,0,0,0
2009,NPL,KOR,Nepal,Republic of Korea,5,0,0,0,0,0
2009,NPL,MEX,Nepal,Mexico,5,0,0,0,0,0
2009,NPL,MYS,Nepal,Malaysia,6,0,14,5,0,0
2009,NPL,NLD,Nepal,Netherlands,255,0,88,0,0,0
2009,NPL,NOR,Nepal,Norway,21,0,186,0,0,0
2009,NPL,NZL,Nepal,New Zealand,18,0,0,0,0,0
2009,NPL,PAN,Nepal,Panama,0,0,16,0,0,0
2009,NPL,POL,Nepal,Poland,5,0,15,0,0,0
2009,NPL,SLV,Nepal,El Salvador,0,0,22,0,0,0
2009,NPL,ESP,Nepal,Spain,5,0,0,0,0,0
2009,NPL,SWE,Nepal,Sweden,16,0,62,0,0,0
2009,NPL,CHE,Nepal,Switzerland,10,0,36,0,0,0
2009,NPL,THA,Nepal,Thailand,18,0,10,0,0,0
2009,NPL,UKR,Nepal,Ukraine,0,0,6,0,0,0
2009,NPL,USA,Nepal,United States of America,3125,0,716,0,0,0
2010,NPL,AUS,Nepal,Australia,154,0,100,0,0,0
2010,NPL,AUT,Nepal,Austria,35,0,73,0,0,0
2010,NPL,BEL,Nepal,Belgium,19,0,0,0,0,0
2010,NPL,CAN,Nepal,Canada,863,0,222,0,0,0
2010,NPL,COL,Nepal,Colombia,0,0,6,0,0,0
2010,NPL,CYP,Nepal,Cyprus,0,0,77,0,0,0
2010,NPL,DNK,Nepal,Denmark,5,0,6,0,0,0
2010,NPL,ECU,Nepal,Ecuador,5,0,34,0,0,0
2010,NPL,FIN,Nepal,Finland,9,0,0,0,0,0
2010,NPL,FRA,Nepal,France,55,0,0,0,0,0
2010,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,156,0,0,0,0,0
2010,NPL,DEU,Nepal,Germany,349,0,31,0,0,0
2010,NPL,GRC,Nepal,Greece,0,0,16,0,0,0
2010,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",7,0,25,0,0,0
2010,NPL,HUN,Nepal,Hungary,15,0,0,0,0,0
2010,NPL,IRL,Nepal,Ireland,5,0,26,0,0,0
2010,NPL,ISR,Nepal,Israel,0,0,8,0,0,0
2010,NPL,ITA,Nepal,Italy,21,0,5,0,0,0
2010,NPL,JPN,Nepal,Japan,0,0,102,0,0,0
2010,NPL,KOR,Nepal,Republic of Korea,5,0,0,0,0,0
2010,NPL,KWT,Nepal,Kuwait,0,0,5,0,0,0
2010,NPL,MEX,Nepal,Mexico,11,0,0,0,0,0
2010,NPL,MYS,Nepal,Malaysia,12,0,7,0,0,0
2010,NPL,NLD,Nepal,Netherlands,299,0,87,0,0,0
2010,NPL,NOR,Nepal,Norway,20,0,43,0,0,0
2010,NPL,NZL,Nepal,New Zealand,18,0,0,0,0,0
2010,NPL,PAN,Nepal,Panama,0,0,16,0,0,0
2010,NPL,POL,Nepal,Poland,7,0,23,0,0,0
2010,NPL,ESP,Nepal,Spain,5,0,0,0,0,0
2010,NPL,SWE,Nepal,Sweden,19,0,26,0,0,0
2010,NPL,CHE,Nepal,Switzerland,8,0,31,0,0,0
2010,NPL,THA,Nepal,Thailand,17,0,5,0,0,0
2010,NPL,UKR,Nepal,Ukraine,0,0,7,0,0,0
2010,NPL,USA,Nepal,United States of America,3764,0,179,0,0,0
2011,NPL,ARG,Nepal,Argentina,0,0,5,0,0,0
2011,NPL,AUS,Nepal,Australia,186,0,223,0,0,0
2011,NPL,AUT,Nepal,Austria,38,0,101,0,0,0
2011,NPL,BEL,Nepal,Belgium,17,0,446,0,0,0
2011,NPL,CAN,Nepal,Canada,986,0,77,0,0,0
2011,NPL,COL,Nepal,Colombia,0,0,6,0,0,0
2011,NPL,CYP,Nepal,Cyprus,0,0,46,0,0,0
2011,NPL,DNK,Nepal,Denmark,5,0,5,0,0,0
2011,NPL,ECU,Nepal,Ecuador,5,0,9,0,0,0
2011,NPL,FIN,Nepal,Finland,9,0,0,0,0,0
2011,NPL,FRA,Nepal,France,62,0,0,0,0,0
2011,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,117,0,15,0,0,0
2011,NPL,DEU,Nepal,Germany,331,0,39,0,0,0
2011,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",5,0,15,0,0,0
2011,NPL,HUN,Nepal,Hungary,15,0,0,0,0,0
2011,NPL,IRL,Nepal,Ireland,5,0,27,0,0,0
2011,NPL,ITA,Nepal,Italy,22,0,0,0,0,0
2011,NPL,JPN,Nepal,Japan,0,0,300,0,0,0
2011,NPL,KOR,Nepal,Republic of Korea,5,0,16,0,0,0
2011,NPL,MEX,Nepal,Mexico,15,0,9,0,0,0
2011,NPL,MYS,Nepal,Malaysia,9,0,6,0,0,0
2011,NPL,NLD,Nepal,Netherlands,348,0,124,0,0,0
2011,NPL,NOR,Nepal,Norway,14,0,22,0,0,0
2011,NPL,NZL,Nepal,New Zealand,17,0,0,0,0,0
2011,NPL,PAN,Nepal,Panama,0,0,16,0,0,0
2011,NPL,PER,Nepal,Peru,0,0,5,0,0,0
2011,NPL,POL,Nepal,Poland,8,0,9,0,0,0
2011,NPL,ESP,Nepal,Spain,6,0,0,0,0,0
2011,NPL,SWE,Nepal,Sweden,22,0,16,0,0,0
2011,NPL,CHE,Nepal,Switzerland,8,0,25,0,0,0
2011,NPL,THA,Nepal,Thailand,18,0,9,0,0,0
2011,NPL,UKR,Nepal,Ukraine,0,0,10,0,0,0
2011,NPL,USA,Nepal,United States of America,4574,0,423,0,0,0
2012,NPL,AUS,Nepal,Australia,196,0,185,0,0,0
2012,NPL,AUT,Nepal,Austria,40,0,81,0,0,0
2012,NPL,BEL,Nepal,Belgium,13,0,381,0,0,0
2012,NPL,BRA,Nepal,Brazil,0,0,32,0,0,0
2012,NPL,CAN,Nepal,Canada,1128,0,60,0,0,0
2012,NPL,CHL,Nepal,Chile,0,0,5,0,0,0
2012,NPL,CYP,Nepal,Cyprus,0,0,10,0,0,0
2012,NPL,DNK,Nepal,Denmark,8,0,0,0,0,0
2012,NPL,ECU,Nepal,Ecuador,5,0,0,0,0,0
2012,NPL,FIN,Nepal,Finland,8,0,0,0,0,0
2012,NPL,FRA,Nepal,France,77,0,0,0,0,0
2012,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,119,0,22,0,0,0
2012,NPL,DEU,Nepal,Germany,349,0,49,0,0,0
2012,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",5,0,14,0,0,0
2012,NPL,HUN,Nepal,Hungary,15,0,0,0,0,0
2012,NPL,IDN,Nepal,Indonesia,0,0,6,0,0,0
2012,NPL,IRL,Nepal,Ireland,5,0,31,0,0,0
2012,NPL,ITA,Nepal,Italy,24,0,7,0,0,0
2012,NPL,JPN,Nepal,Japan,0,0,496,0,0,0
2012,NPL,KOR,Nepal,Republic of Korea,5,0,48,0,0,0
2012,NPL,MYS,Nepal,Malaysia,9,0,7,0,0,0
2012,NPL,NLD,Nepal,Netherlands,385,0,124,0,0,0
2012,NPL,NOR,Nepal,Norway,14,0,15,0,0,0
2012,NPL,NZL,Nepal,New Zealand,17,0,5,0,0,0
2012,NPL,PAN,Nepal,Panama,0,0,16,0,0,0
2012,NPL,PER,Nepal,Peru,0,0,5,0,0,0
2012,NPL,POL,Nepal,Poland,9,0,5,0,0,0
2012,NPL,ZAF,Nepal,South Africa,0,0,58,0,0,0
2012,NPL,ESP,Nepal,Spain,6,0,0,0,0,0
2012,NPL,SWE,Nepal,Sweden,22,0,13,0,0,0
2012,NPL,CHE,Nepal,Switzerland,8,0,47,0,0,0
2012,NPL,THA,Nepal,Thailand,15,0,8,0,0,0
2012,NPL,UKR,Nepal,Ukraine,0,0,18,0,0,0
2012,NPL,USA,Nepal,United States of America,5121,0,763,0,0,0
2013,NPL,AUS,Nepal,Australia,197,0,300,0,0,0
2013,NPL,AUT,Nepal,Austria,41,0,63,0,0,0
2013,NPL,BEL,Nepal,Belgium,12,0,71,0,0,0
2013,NPL,BRA,Nepal,Brazil,5,0,33,0,0,0
2013,NPL,CAN,Nepal,Canada,1212,0,49,0,0,0
2013,NPL,CRI,Nepal,Costa Rica,0,0,8,0,0,0
2013,NPL,DNK,Nepal,Denmark,8,0,0,0,0,0
2013,NPL,ECU,Nepal,Ecuador,5,0,0,0,0,0
2013,NPL,FIN,Nepal,Finland,5,0,0,0,0,0
2013,NPL,FRA,Nepal,France,100,0,106,0,0,0
2013,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,118,0,24,0,0,0
2013,NPL,DEU,Nepal,Germany,55,0,50,0,0,0
2013,NPL,GRC,Nepal,Greece,0,0,24,0,0,0
2013,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",5,0,29,0,0,0
2013,NPL,HUN,Nepal,Hungary,7,0,0,0,0,0
2013,NPL,IDN,Nepal,Indonesia,0,0,12,0,0,0
2013,NPL,IRL,Nepal,Ireland,0,0,24,0,0,0
2013,NPL,ITA,Nepal,Italy,25,0,5,0,0,0
2013,NPL,JPN,Nepal,Japan,0,0,856,0,0,0
2013,NPL,KOR,Nepal,Republic of Korea,5,0,111,0,0,0
2013,NPL,MEX,Nepal,Mexico,0,0,5,0,0,0
2013,NPL,MYS,Nepal,Malaysia,7,0,0,0,0,0
2013,NPL,NLD,Nepal,Netherlands,430,0,0,0,0,0
2013,NPL,NOR,Nepal,Norway,14,0,7,0,0,0
2013,NPL,NZL,Nepal,New Zealand,16,0,5,0,0,0
2013,NPL,PAN,Nepal,Panama,0,0,16,0,0,0
2013,NPL,POL,Nepal,Poland,9,0,0,0,0,0
2013,NPL,ZAF,Nepal,South Africa,0,0,78,0,0,0
2013,NPL,ESP,Nepal,Spain,6,0,0,0,0,0
2013,NPL,SWE,Nepal,Sweden,25,0,11,0,0,0
2013,NPL,CHE,Nepal,Switzerland,9,0,34,0,0,0
2013,NPL,THA,Nepal,Thailand,13,0,7,0,0,0
2013,NPL,TUR,Nepal,Turkey,0,0,11,0,0,0
2013,NPL,UKR,Nepal,Ukraine,0,0,13,0,0,0
2013,NPL,USA,Nepal,United States of America,5771,0,1831,0,0,0
2014,NPL,AUS,Nepal,Australia,205,0,493,0,0,0
2014,NPL,AUT,Nepal,Austria,41,0,0,0,0,0
2014,NPL,AZE,Nepal,Azerbaijan,0,0,10,0,0,0
2014,NPL,BEL,Nepal,Belgium,15,0,17,0,0,0
2014,NPL,BRA,Nepal,Brazil,5,0,45,0,0,0
2014,NPL,CAN,Nepal,Canada,1223,0,22,0,0,0
2014,NPL,COL,Nepal,Colombia,0,0,10,0,0,0
2014,NPL,DNK,Nepal,Denmark,7,0,0,0,0,0
2014,NPL,ECU,Nepal,Ecuador,5,0,0,0,0,0
2014,NPL,FIN,Nepal,Finland,5,0,0,0,0,0
2014,NPL,FRA,Nepal,France,108,0,108,0,0,0
2014,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,110,0,33,0,0,0
